Company,Sector,Orderly Transition EL (%),Current Policies EL (%),Incremental Risk (pp)
Coromandel International,Agriculture Inputs,8.959999999999999,13.44,4.48
Adani Green Energy,Power Generation,7.41,11.115000000000002,3.705000000000002
Larsen & Toubro,Infrastructure,7.0375,10.556250000000002,3.5187500000000025
UPL Ltd,Agriculture Inputs,6.950000000000001,10.425000000000002,3.4750000000000014
Jain Irrigation Systems,Irrigation / Water,6.719,10.078500000000002,3.3595000000000015
DLF Ltd,Real Estate (Coastal),6.1275,9.19125,3.0637499999999998
NTPC Ltd,Power Generation,5.635,8.452500000000002,2.8175000000000026
IRB Infrastructure,Infrastructure,4.565,6.847500000000002,2.2825000000000015
State Bank of India,Banking (Agri Credit),3.344,5.016000000000001,1.672000000000001
Bank of Baroda,Banking (Agri Credit),2.976,4.464,1.4880000000000004
